artistId,name,startYear,endYear
1,Devo,1973,
2,Yellow Magic Orchestra,1978,2012
3,They Might Be Giants,1982,
4,The Hives,1993,
5,The Social Club,2011,
6,Ramones,1974,1996
7,Midnight Reruns,2010,2017
8,The Kinks,1963,1997
9,Common Rider,1999,2003
10,The Marked Men,2002,
11,Mike Krol,2011,
12,Jaill,2002,
13,Teenage Cool Kids,2006,2011
14,Built To Spill,1992,
15,Ben Folds Five,1993,2013
16,Radioactivity,2013,
